X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -77.87500    	    34.12500    	    5759.938    	   0.7866666    
   -77.62500    	    34.12500    	    5759.938    	    1.693333    
   -77.87500    	    34.37500    	    5759.938    	   0.5566666    
   -77.62500    	    34.37500    	    5759.938    	   0.7700000    
   -77.87500    	    34.12500    	    5760.062    	    3.440000    
   -77.62500    	    34.12500    	    5760.062    	    3.070000    
   -77.87500    	    34.37500    	    5760.062    	    5.289999    
   -77.62500    	    34.37500    	    5760.062    	    4.606667    
   -77.87500    	    34.12500    	    5760.188    	    1.320000    
   -77.62500    	    34.12500    	    5760.188    	    1.536667    
   -77.87500    	    34.37500    	    5760.188    	    3.693333    
   -77.62500    	    34.37500    	    5760.188    	    5.720000    
   -77.87500    	    34.12500    	    5760.312    	    1.503333    
   -77.62500    	    34.12500    	    5760.312    	    2.913333    
   -77.87500    	    34.37500    	    5760.312    	    5.283333    
   -77.62500    	    34.37500    	    5760.312    	    6.980000    
   -77.87500    	    34.12500    	    5760.438    	    6.139999    
   -77.62500    	    34.12500    	    5760.438    	    4.196667    
   -77.87500    	    34.37500    	    5760.438    	    10.34000    
   -77.62500    	    34.37500    	    5760.438    	    7.810000    
   -77.87500    	    34.12500    	    5760.562    	    5.366666    
   -77.62500    	    34.12500    	    5760.562    	    2.570000    
   -77.87500    	    34.37500    	    5760.562    	    8.130000    
   -77.62500    	    34.37500    	    5760.562    	    2.933333    
   -77.87500    	    34.12500    	    5760.688    	    2.286667    
   -77.62500    	    34.12500    	    5760.688    	    1.620000    
   -77.87500    	    34.37500    	    5760.688    	    2.293333    
   -77.62500    	    34.37500    	    5760.688    	    1.170000    
   -77.87500    	    34.12500    	    5760.812    	   0.2633333    
   -77.62500    	    34.12500    	    5760.812    	    1.060000    
   -77.87500    	    34.37500    	    5760.812    	   0.9466667    
   -77.62500    	    34.37500    	    5760.812    	    2.176666    
   -77.87500    	    34.12500    	    5760.938    	    1.023333    
   -77.62500    	    34.12500    	    5760.938    	    4.813333    
   -77.87500    	    34.37500    	    5760.938    	    2.886667    
   -77.62500    	    34.37500    	    5760.938    	    4.733333    
