X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -74.62500    	    23.87500    	    635.3125    	    8.111113    
   -74.37500    	    23.87500    	    635.3125    	    11.52222    
   -74.62500    	    24.12500    	    635.3125    	    3.600000    
   -74.37500    	    24.12500    	    635.3125    	    7.269444    
   -74.62500    	    23.87500    	    635.4375    	    4.285186    
   -74.37500    	    23.87500    	    635.4375    	    1.929630    
   -74.62500    	    24.12500    	    635.4375    	    7.113889    
   -74.37500    	    24.12500    	    635.4375    	    5.286111    
   -74.62500    	    23.87500    	    635.5625    	    4.425926    
   -74.37500    	    23.87500    	    635.5625    	    4.192593    
   -74.62500    	    24.12500    	    635.5625    	    2.786111    
   -74.37500    	    24.12500    	    635.5625    	    2.675000    
   -74.62500    	    23.87500    	    635.6875    	    2.470371    
   -74.37500    	    23.87500    	    635.6875    	    4.174073    
   -74.62500    	    24.12500    	    635.6875    	    3.461112    
   -74.37500    	    24.12500    	    635.6875    	    3.747222    
   -74.62500    	    23.87500    	    635.8125    	    1.418519    
   -74.37500    	    23.87500    	    635.8125    	    2.662963    
   -74.62500    	    24.12500    	    635.8125    	    3.066666    
   -74.37500    	    24.12500    	    635.8125    	    5.683333    
   -74.62500    	    23.87500    	    635.9375    	   0.9222222    
   -74.37500    	    23.87500    	    635.9375    	    1.459260    
   -74.62500    	    24.12500    	    635.9375    	    3.272222    
   -74.37500    	    24.12500    	    635.9375    	    2.100000    
   -74.62500    	    23.87500    	    636.0625    	    4.451852    
   -74.37500    	    23.87500    	    636.0625    	    5.507407    
   -74.62500    	    24.12500    	    636.0625    	    6.999999    
   -74.37500    	    24.12500    	    636.0625    	    6.613890    
   -74.62500    	    23.87500    	    636.1875    	    5.025926    
   -74.37500    	    23.87500    	    636.1875    	    7.151852    
   -74.62500    	    24.12500    	    636.1875    	    5.394444    
   -74.37500    	    24.12500    	    636.1875    	    11.08055    
   -74.62500    	    23.87500    	    636.3125    	    6.300000    
   -74.37500    	    23.87500    	    636.3125    	    10.75185    
   -74.62500    	    24.12500    	    636.3125    	    5.272222    
   -74.37500    	    24.12500    	    636.3125    	    11.68611    
