X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -84.12500    	    639.3125    	   7.4074077E-03
   -83.87500    	    639.3125    	   0.0000000E+00
   -84.12500    	    639.4375    	   6.6666678E-02
   -83.87500    	    639.4375    	   0.1361111    
   -84.12500    	    639.5625    	    1.103704    
   -83.87500    	    639.5625    	    1.727778    
   -84.12500    	    639.6875    	    3.874074    
   -83.87500    	    639.6875    	    3.188889    
   -84.12500    	    639.8125    	    3.466667    
   -83.87500    	    639.8125    	    5.702777    
   -84.12500    	    639.9375    	    1.114815    
   -83.87500    	    639.9375    	    1.613889    
   -84.12500    	    640.0625    	   0.0000000E+00
   -83.87500    	    640.0625    	   2.5000000E-02
   -84.12500    	    640.1875    	   0.0000000E+00
   -83.87500    	    640.1875    	   0.0000000E+00
   -84.12500    	    640.3125    	   0.0000000E+00
   -83.87500    	    640.3125    	   0.0000000E+00
