Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    19.87500    	    5359.688    	   0.6944445    
    20.12500    	    5359.688    	   0.7958333    
    19.87500    	    5359.812    	    3.105556    
    20.12500    	    5359.812    	    3.675000    
    19.87500    	    5359.938    	    1.469445    
    20.12500    	    5359.938    	    1.112500    
    19.87500    	    5360.062    	    3.522222    
    20.12500    	    5360.062    	    2.258333    
    19.87500    	    5360.188    	    6.352778    
    20.12500    	    5360.188    	    3.956250    
    19.87500    	    5360.312    	    1.138889    
    20.12500    	    5360.312    	    1.150000    
    19.87500    	    5360.438    	   0.5361111    
    20.12500    	    5360.438    	    1.452083    
    19.87500    	    5360.562    	   0.9111111    
    20.12500    	    5360.562    	    3.160417    
    19.87500    	    5360.688    	   4.7222227E-02
    20.12500    	    5360.688    	   7.4999996E-02
