Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    34.62500    	    1737.188    	   0.4259260    
    34.87500    	    1737.188    	   0.2592593    
    34.62500    	    1737.312    	   0.1666666    
    34.87500    	    1737.312    	   0.4925927    
    34.62500    	    1737.438    	   2.2222223E-02
    34.87500    	    1737.438    	   0.0000000E+00
    34.62500    	    1737.562    	   0.7555556    
    34.87500    	    1737.562    	   0.0000000E+00
    34.62500    	    1737.688    	    3.377778    
    34.87500    	    1737.688    	   0.0000000E+00
    34.62500    	    1737.812    	    11.36667    
    34.87500    	    1737.812    	    2.022223    
    34.62500    	    1737.938    	    8.381480    
    34.87500    	    1737.938    	    5.088891    
    34.62500    	    1738.062    	   0.9777777    
    34.87500    	    1738.062    	   5.9259262E-02
    34.62500    	    1738.188    	   0.0000000E+00
    34.87500    	    1738.188    	   0.0000000E+00
