Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    32.87500    	    631.0625    	    1.103704    
    33.12500    	    631.0625    	    1.685185    
    32.87500    	    631.1875    	    1.337037    
    33.12500    	    631.1875    	   0.7074074    
    32.87500    	    631.3125    	    3.299999    
    33.12500    	    631.3125    	    3.974074    
    32.87500    	    631.4375    	    2.225926    
    33.12500    	    631.4375    	    2.474074    
    32.87500    	    631.5625    	    3.988889    
    33.12500    	    631.5625    	    3.540741    
    32.87500    	    631.6875    	   0.2925926    
    33.12500    	    631.6875    	   0.2629630    
    32.87500    	    631.8125    	   0.0000000E+00
    33.12500    	    631.8125    	   1.1111111E-02
    32.87500    	    631.9375    	   0.0000000E+00
    33.12500    	    631.9375    	   0.0000000E+00
    32.87500    	    632.0625    	   0.0000000E+00
    33.12500    	    632.0625    	   0.0000000E+00
