Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    21.62500    	    960.5625    	   0.8250000    
    21.87500    	    960.5625    	    1.264583    
    21.62500    	    960.6875    	    2.216666    
    21.87500    	    960.6875    	    2.262500    
    21.62500    	    960.8125    	    1.694445    
    21.87500    	    960.8125    	    2.256250    
    21.62500    	    960.9375    	    4.988889    
    21.87500    	    960.9375    	    10.05625    
    21.62500    	    961.0625    	   0.7638891    
    21.87500    	    961.0625    	    2.143749    
    21.62500    	    961.1875    	   0.0000000E+00
    21.87500    	    961.1875    	   0.0000000E+00
    21.62500    	    961.3125    	   0.0000000E+00
    21.87500    	    961.3125    	   0.0000000E+00
    21.62500    	    961.4375    	   5.5555556E-02
    21.87500    	    961.4375    	   0.0000000E+00
    21.62500    	    961.5625    	   0.0000000E+00
    21.87500    	    961.5625    	   0.0000000E+00
