X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -63.12500    	    4328.438    	   0.1888888    
   -62.87500    	    4328.438    	   0.3000000    
   -63.12500    	    4328.562    	   0.1740740    
   -62.87500    	    4328.562    	   0.2611111    
   -63.12500    	    4328.688    	    1.333333    
   -62.87500    	    4328.688    	    4.102777    
   -63.12500    	    4328.812    	    9.096295    
   -62.87500    	    4328.812    	    12.55278    
   -63.12500    	    4328.938    	    10.27778    
   -62.87500    	    4328.938    	    8.508334    
   -63.12500    	    4329.062    	    22.43703    
   -62.87500    	    4329.062    	    13.71667    
   -63.12500    	    4329.188    	    7.148146    
   -62.87500    	    4329.188    	    3.122222    
   -63.12500    	    4329.312    	   0.6296297    
   -62.87500    	    4329.312    	   0.2166667    
   -63.12500    	    4329.438    	   0.0000000E+00
   -62.87500    	    4329.438    	   5.0000004E-02
