Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    18.12500    	    4328.438    	   0.1888888    
    18.37500    	    4328.438    	   0.1583333    
    18.12500    	    4328.562    	   0.1740740    
    18.37500    	    4328.562    	   0.1361111    
    18.12500    	    4328.688    	    1.333333    
    18.37500    	    4328.688    	   0.7916666    
    18.12500    	    4328.812    	    9.096295    
    18.37500    	    4328.812    	    5.883334    
    18.12500    	    4328.938    	    10.27778    
    18.37500    	    4328.938    	    8.205557    
    18.12500    	    4329.062    	    22.43703    
    18.37500    	    4329.062    	    9.105556    
    18.12500    	    4329.188    	    7.148146    
    18.37500    	    4329.188    	    6.852778    
    18.12500    	    4329.312    	   0.6296297    
    18.37500    	    4329.312    	   0.7444446    
    18.12500    	    4329.438    	   0.0000000E+00
    18.37500    	    4329.438    	   8.8888869E-02
