X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -64.87500    	    32.12500    	    4332.562    	   0.1250000    
   -64.62500    	    32.12500    	    4332.562    	   4.7222231E-02
   -64.87500    	    32.37500    	    4332.562    	   2.2222223E-02
   -64.62500    	    32.37500    	    4332.562    	   2.2222223E-02
   -64.87500    	    32.12500    	    4332.688    	    5.144444    
   -64.62500    	    32.12500    	    4332.688    	    3.455556    
   -64.87500    	    32.37500    	    4332.688    	    2.388889    
   -64.62500    	    32.37500    	    4332.688    	    1.137037    
   -64.87500    	    32.12500    	    4332.812    	    9.047219    
   -64.62500    	    32.12500    	    4332.812    	    8.186110    
   -64.87500    	    32.37500    	    4332.812    	    7.892592    
   -64.62500    	    32.37500    	    4332.812    	    5.944443    
   -64.87500    	    32.12500    	    4332.938    	    5.316666    
   -64.62500    	    32.12500    	    4332.938    	    4.677780    
   -64.87500    	    32.37500    	    4332.938    	    4.274075    
   -64.62500    	    32.37500    	    4332.938    	    4.911111    
   -64.87500    	    32.12500    	    4333.062    	    1.430556    
   -64.62500    	    32.12500    	    4333.062    	    1.394445    
   -64.87500    	    32.37500    	    4333.062    	    2.722221    
   -64.62500    	    32.37500    	    4333.062    	    2.070370    
   -64.87500    	    32.12500    	    4333.188    	    1.530555    
   -64.62500    	    32.12500    	    4333.188    	    1.655555    
   -64.87500    	    32.37500    	    4333.188    	    1.985185    
   -64.62500    	    32.37500    	    4333.188    	    2.370370    
   -64.87500    	    32.12500    	    4333.312    	   0.0000000E+00
   -64.62500    	    32.12500    	    4333.312    	   0.0000000E+00
   -64.87500    	    32.37500    	    4333.312    	   0.3148149    
   -64.62500    	    32.37500    	    4333.312    	   0.7888889    
   -64.87500    	    32.12500    	    4333.438    	   1.6666668E-02
   -64.62500    	    32.12500    	    4333.438    	   1.3888889E-02
   -64.87500    	    32.37500    	    4333.438    	   4.4444449E-02
   -64.62500    	    32.37500    	    4333.438    	   4.4444449E-02
   -64.87500    	    32.12500    	    4333.562    	   0.0000000E+00
   -64.62500    	    32.12500    	    4333.562    	   0.0000000E+00
   -64.87500    	    32.37500    	    4333.562    	   0.0000000E+00
   -64.62500    	    32.37500    	    4333.562    	   0.0000000E+00
