X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -80.62500    	    24.87500    	    5748.938    	   0.0000000E+00
   -80.37500    	    24.87500    	    5748.938    	   0.0000000E+00
   -80.62500    	    25.12500    	    5748.938    	   0.0000000E+00
   -80.37500    	    25.12500    	    5748.938    	   0.0000000E+00
   -80.62500    	    24.87500    	    5749.062    	   0.0000000E+00
   -80.37500    	    24.87500    	    5749.062    	   0.0000000E+00
   -80.62500    	    25.12500    	    5749.062    	   0.0000000E+00
   -80.37500    	    25.12500    	    5749.062    	   0.0000000E+00
   -80.62500    	    24.87500    	    5749.188    	   0.1733333    
   -80.37500    	    24.87500    	    5749.188    	   0.3066666    
   -80.62500    	    25.12500    	    5749.188    	   0.1533333    
   -80.37500    	    25.12500    	    5749.188    	   0.3233334    
   -80.62500    	    24.87500    	    5749.312    	    1.100000    
   -80.37500    	    24.87500    	    5749.312    	    1.300000    
   -80.62500    	    25.12500    	    5749.312    	   0.3833333    
   -80.37500    	    25.12500    	    5749.312    	   0.2500000    
   -80.62500    	    24.87500    	    5749.438    	    1.516667    
   -80.37500    	    24.87500    	    5749.438    	    4.750000    
   -80.62500    	    25.12500    	    5749.438    	    2.060000    
   -80.37500    	    25.12500    	    5749.438    	    5.890000    
   -80.62500    	    24.87500    	    5749.562    	    3.700000    
   -80.37500    	    24.87500    	    5749.562    	    7.213333    
   -80.62500    	    25.12500    	    5749.562    	    5.090000    
   -80.37500    	    25.12500    	    5749.562    	    9.583333    
   -80.62500    	    24.87500    	    5749.688    	    4.233333    
   -80.37500    	    24.87500    	    5749.688    	    9.926666    
   -80.62500    	    25.12500    	    5749.688    	    8.630000    
   -80.37500    	    25.12500    	    5749.688    	    14.22333    
   -80.62500    	    24.87500    	    5749.812    	    4.960000    
   -80.37500    	    24.87500    	    5749.812    	    7.066666    
   -80.62500    	    25.12500    	    5749.812    	    5.683333    
   -80.37500    	    25.12500    	    5749.812    	    5.630000    
   -80.62500    	    24.87500    	    5749.938    	   0.0000000E+00
   -80.37500    	    24.87500    	    5749.938    	   0.0000000E+00
   -80.62500    	    25.12500    	    5749.938    	   0.0000000E+00
   -80.37500    	    25.12500    	    5749.938    	   0.0000000E+00
