X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -88.62500    	    5750.688    	   0.1433333    
   -88.37500    	    5750.688    	   0.1200000    
   -88.62500    	    5750.812    	   0.1733333    
   -88.37500    	    5750.812    	   7.6666661E-02
   -88.62500    	    5750.938    	   1.3333333E-02
   -88.37500    	    5750.938    	   2.3333333E-02
   -88.62500    	    5751.062    	    7.266666    
   -88.37500    	    5751.062    	    12.73333    
   -88.62500    	    5751.188    	    18.78333    
   -88.37500    	    5751.188    	    12.57667    
   -88.62500    	    5751.312    	    2.086666    
   -88.37500    	    5751.312    	    1.133333    
   -88.62500    	    5751.438    	   0.1633333    
   -88.37500    	    5751.438    	   7.3333330E-02
   -88.62500    	    5751.562    	   0.0000000E+00
   -88.37500    	    5751.562    	   0.0000000E+00
   -88.62500    	    5751.688    	   0.0000000E+00
   -88.37500    	    5751.688    	   7.0000000E-02
