Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    36.87500    	    3543.688    	   0.0000000E+00
    37.12500    	    3543.688    	   0.0000000E+00
    36.87500    	    3543.812    	   0.0000000E+00
    37.12500    	    3543.812    	   0.0000000E+00
    36.87500    	    3543.938    	    3.085185    
    37.12500    	    3543.938    	    2.348148    
    36.87500    	    3544.062    	    12.07037    
    37.12500    	    3544.062    	    13.41482    
    36.87500    	    3544.188    	    1.788890    
    37.12500    	    3544.188    	    3.477777    
    36.87500    	    3544.312    	   0.0000000E+00
    37.12500    	    3544.312    	   0.0000000E+00
    36.87500    	    3544.438    	   0.0000000E+00
    37.12500    	    3544.438    	   0.0000000E+00
    36.87500    	    3544.562    	   0.0000000E+00
    37.12500    	    3544.562    	   0.0000000E+00
    36.87500    	    3544.688    	   0.0000000E+00
    37.12500    	    3544.688    	   0.0000000E+00
