X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -72.87500    	    2089.312    	   0.1222222    
   -72.62500    	    2089.312    	   0.2138889    
   -72.87500    	    2089.438    	   3.7037037E-02
   -72.62500    	    2089.438    	   1.6666668E-02
   -72.87500    	    2089.562    	   3.7037039E-03
   -72.62500    	    2089.562    	   0.5527779    
   -72.87500    	    2089.688    	    5.022222    
   -72.62500    	    2089.688    	    10.02222    
   -72.87500    	    2089.812    	    7.274073    
   -72.62500    	    2089.812    	    7.594447    
   -72.87500    	    2089.938    	    7.940741    
   -72.62500    	    2089.938    	    6.008333    
   -72.87500    	    2090.062    	    3.503703    
   -72.62500    	    2090.062    	    5.738890    
   -72.87500    	    2090.188    	    5.170370    
   -72.62500    	    2090.188    	    11.45833    
   -72.87500    	    2090.312    	    16.34815    
   -72.62500    	    2090.312    	    22.16945    
