X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -76.37500    	    17.87500    	    2091.312    	   1.9444445E-02
   -76.12500    	    17.87500    	    2091.312    	   3.0555559E-02
   -76.37500    	    18.12500    	    2091.312    	   0.0000000E+00
   -76.12500    	    18.12500    	    2091.312    	   0.0000000E+00
   -76.37500    	    17.87500    	    2091.438    	   0.4972222    
   -76.12500    	    17.87500    	    2091.438    	    1.116667    
   -76.37500    	    18.12500    	    2091.438    	   1.4814815E-02
   -76.12500    	    18.12500    	    2091.438    	   0.1370370    
   -76.37500    	    17.87500    	    2091.562    	    2.872223    
   -76.12500    	    17.87500    	    2091.562    	    5.072222    
   -76.37500    	    18.12500    	    2091.562    	    2.088889    
   -76.12500    	    18.12500    	    2091.562    	    4.037038    
   -76.37500    	    17.87500    	    2091.688    	    5.622222    
   -76.12500    	    17.87500    	    2091.688    	    7.213889    
   -76.37500    	    18.12500    	    2091.688    	    5.170370    
   -76.12500    	    18.12500    	    2091.688    	    7.203704    
   -76.37500    	    17.87500    	    2091.812    	    6.345835    
   -76.12500    	    17.87500    	    2091.812    	    3.891667    
   -76.37500    	    18.12500    	    2091.812    	    7.572224    
   -76.12500    	    18.12500    	    2091.812    	    5.972223    
   -76.37500    	    17.87500    	    2091.938    	    1.900000    
   -76.12500    	    17.87500    	    2091.938    	    2.408334    
   -76.37500    	    18.12500    	    2091.938    	    3.488889    
   -76.12500    	    18.12500    	    2091.938    	    1.903704    
   -76.37500    	    17.87500    	    2092.062    	    13.99444    
   -76.12500    	    17.87500    	    2092.062    	    8.747222    
   -76.37500    	    18.12500    	    2092.062    	    8.870370    
   -76.12500    	    18.12500    	    2092.062    	    9.159259    
   -76.37500    	    17.87500    	    2092.188    	    10.51667    
   -76.12500    	    17.87500    	    2092.188    	    3.983332    
   -76.37500    	    18.12500    	    2092.188    	    12.25926    
   -76.12500    	    18.12500    	    2092.188    	    8.855555    
   -76.37500    	    17.87500    	    2092.312    	    1.963889    
   -76.12500    	    17.87500    	    2092.312    	    1.175000    
   -76.37500    	    18.12500    	    2092.312    	    1.974074    
   -76.12500    	    18.12500    	    2092.312    	   0.7629637    
