X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -71.87500    	    21.62500    	    2097.312    	   0.9305556    
   -71.62500    	    21.62500    	    2097.312    	    7.174073    
   -71.87500    	    21.87500    	    2097.312    	   0.7312500    
   -71.62500    	    21.87500    	    2097.312    	    3.447222    
   -71.87500    	    21.62500    	    2097.438    	    3.547222    
   -71.62500    	    21.62500    	    2097.438    	    13.43333    
   -71.87500    	    21.87500    	    2097.438    	    3.008333    
   -71.62500    	    21.87500    	    2097.438    	    10.82222    
   -71.87500    	    21.62500    	    2097.562    	    3.888890    
   -71.62500    	    21.62500    	    2097.562    	    7.618519    
   -71.87500    	    21.87500    	    2097.562    	    5.047916    
   -71.62500    	    21.87500    	    2097.562    	    12.50555    
   -71.87500    	    21.62500    	    2097.688    	    1.561111    
   -71.62500    	    21.62500    	    2097.688    	    2.770370    
   -71.87500    	    21.87500    	    2097.688    	    4.125002    
   -71.62500    	    21.87500    	    2097.688    	    6.361112    
   -71.87500    	    21.62500    	    2097.812    	   0.3722225    
   -71.62500    	    21.62500    	    2097.812    	   0.3777781    
   -71.87500    	    21.87500    	    2097.812    	   0.6479167    
   -71.62500    	    21.87500    	    2097.812    	    1.025000    
   -71.87500    	    21.62500    	    2097.938    	   0.0000000E+00
   -71.62500    	    21.62500    	    2097.938    	   0.0000000E+00
   -71.87500    	    21.87500    	    2097.938    	   0.0000000E+00
   -71.62500    	    21.87500    	    2097.938    	   0.0000000E+00
   -71.87500    	    21.62500    	    2098.062    	   0.0000000E+00
   -71.62500    	    21.62500    	    2098.062    	   0.0000000E+00
   -71.87500    	    21.87500    	    2098.062    	   0.0000000E+00
   -71.62500    	    21.87500    	    2098.062    	   0.0000000E+00
   -71.87500    	    21.62500    	    2098.188    	   0.0000000E+00
   -71.62500    	    21.62500    	    2098.188    	   0.0000000E+00
   -71.87500    	    21.87500    	    2098.188    	   2.0833334E-03
   -71.62500    	    21.87500    	    2098.188    	   0.0000000E+00
   -71.87500    	    21.62500    	    2098.312    	   0.0000000E+00
   -71.62500    	    21.62500    	    2098.312    	   0.0000000E+00
   -71.87500    	    21.87500    	    2098.312    	   0.0000000E+00
   -71.62500    	    21.87500    	    2098.312    	   0.0000000E+00
