X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -83.37500    	    4342.188    	    4.875000    
   -83.12500    	    4342.188    	    10.35278    
   -83.37500    	    4342.312    	    14.28959    
   -83.12500    	    4342.312    	    13.28611    
   -83.37500    	    4342.438    	    11.91667    
   -83.12500    	    4342.438    	    6.966666    
   -83.37500    	    4342.562    	    5.762499    
   -83.12500    	    4342.562    	    1.486111    
   -83.37500    	    4342.688    	    2.477082    
   -83.12500    	    4342.688    	   0.6027778    
   -83.37500    	    4342.812    	    1.820832    
   -83.12500    	    4342.812    	   0.1416667    
   -83.37500    	    4342.938    	   1.6666668E-02
   -83.12500    	    4342.938    	   0.0000000E+00
   -83.37500    	    4343.062    	   8.3333338E-03
   -83.12500    	    4343.062    	   5.5555556E-02
   -83.37500    	    4343.188    	   2.0833334E-02
   -83.12500    	    4343.188    	   0.0000000E+00
