X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -95.37500    	    18.62500    	    3179.562    	   0.5000001    
   -95.12500    	    18.62500    	    3179.562    	   0.4222223    
   -95.37500    	    18.87500    	    3179.562    	   2.2916667E-02
   -95.12500    	    18.87500    	    3179.562    	   4.1666672E-02
   -95.37500    	    18.62500    	    3179.688    	    1.805556    
   -95.12500    	    18.62500    	    3179.688    	    2.874074    
   -95.37500    	    18.87500    	    3179.688    	    1.414583    
   -95.12500    	    18.87500    	    3179.688    	    4.844444    
   -95.37500    	    18.62500    	    3179.812    	    13.70000    
   -95.12500    	    18.62500    	    3179.812    	    3.562961    
   -95.37500    	    18.87500    	    3179.812    	    10.69167    
   -95.12500    	    18.87500    	    3179.812    	    6.072223    
   -95.37500    	    18.62500    	    3179.938    	    2.833334    
   -95.12500    	    18.62500    	    3179.938    	    1.244444    
   -95.37500    	    18.87500    	    3179.938    	    3.568752    
   -95.12500    	    18.87500    	    3179.938    	    2.094444    
   -95.37500    	    18.62500    	    3180.062    	   0.7138889    
   -95.12500    	    18.62500    	    3180.062    	    2.162963    
   -95.37500    	    18.87500    	    3180.062    	   0.9645829    
   -95.12500    	    18.87500    	    3180.062    	    1.625000    
   -95.37500    	    18.62500    	    3180.188    	   0.0000000E+00
   -95.12500    	    18.62500    	    3180.188    	   0.0000000E+00
   -95.37500    	    18.87500    	    3180.188    	   0.0000000E+00
   -95.12500    	    18.87500    	    3180.188    	   0.0000000E+00
   -95.37500    	    18.62500    	    3180.312    	   0.0000000E+00
   -95.12500    	    18.62500    	    3180.312    	   0.0000000E+00
   -95.37500    	    18.87500    	    3180.312    	   0.0000000E+00
   -95.12500    	    18.87500    	    3180.312    	   0.0000000E+00
   -95.37500    	    18.62500    	    3180.438    	   0.0000000E+00
   -95.12500    	    18.62500    	    3180.438    	   0.0000000E+00
   -95.37500    	    18.87500    	    3180.438    	   0.0000000E+00
   -95.12500    	    18.87500    	    3180.438    	   0.0000000E+00
   -95.37500    	    18.62500    	    3180.562    	   0.0000000E+00
   -95.12500    	    18.62500    	    3180.562    	   0.0000000E+00
   -95.37500    	    18.87500    	    3180.562    	   0.0000000E+00
   -95.12500    	    18.87500    	    3180.562    	   0.0000000E+00
