Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    27.87500    	    5375.688    	    3.033334    
    28.12500    	    5375.688    	    4.850000    
    27.87500    	    5375.812    	    3.366667    
    28.12500    	    5375.812    	    2.716667    
    27.87500    	    5375.938    	    14.70000    
    28.12500    	    5375.938    	    8.952778    
    27.87500    	    5376.062    	    4.600000    
    28.12500    	    5376.062    	    6.900000    
    27.87500    	    5376.188    	    5.800000    
    28.12500    	    5376.188    	    6.263889    
    27.87500    	    5376.312    	    4.474074    
    28.12500    	    5376.312    	    6.388889    
    27.87500    	    5376.438    	    2.777778    
    28.12500    	    5376.438    	    4.844444    
    27.87500    	    5376.562    	    1.996296    
    28.12500    	    5376.562    	    3.922222    
    27.87500    	    5376.688    	   0.1333333    
    28.12500    	    5376.688    	   0.1611111    
