X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -97.87500    	    3542.062    	   0.0000000E+00
   -97.62500    	    3542.062    	   0.3625000    
   -97.87500    	    3542.188    	   0.0000000E+00
   -97.62500    	    3542.188    	   0.4437501    
   -97.87500    	    3542.312    	   0.4194444    
   -97.62500    	    3542.312    	    2.566666    
   -97.87500    	    3542.438    	    9.258335    
   -97.62500    	    3542.438    	    10.88958    
   -97.87500    	    3542.562    	    3.144444    
   -97.62500    	    3542.562    	    2.189583    
   -97.87500    	    3542.688    	   0.0000000E+00
   -97.62500    	    3542.688    	   0.0000000E+00
   -97.87500    	    3542.812    	   0.0000000E+00
   -97.62500    	    3542.812    	   0.0000000E+00
   -97.87500    	    3542.938    	   0.0000000E+00
   -97.62500    	    3542.938    	   0.0000000E+00
   -97.87500    	    3543.062    	   0.0000000E+00
   -97.62500    	    3543.062    	   0.0000000E+00
