X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -82.87500    	    272.9375    	   0.2694445    
   -82.62500    	    272.9375    	   0.2296296    
   -82.87500    	    273.0625    	   0.0000000E+00
   -82.62500    	    273.0625    	   0.0000000E+00
   -82.87500    	    273.1875    	   2.7777778E-03
   -82.62500    	    273.1875    	   0.0000000E+00
   -82.87500    	    273.3125    	   0.4277778    
   -82.62500    	    273.3125    	   1.8518519E-02
   -82.87500    	    273.4375    	   0.1361111    
   -82.62500    	    273.4375    	   0.3037037    
   -82.87500    	    273.5625    	   0.0000000E+00
   -82.62500    	    273.5625    	   0.0000000E+00
   -82.87500    	    273.6875    	   0.0000000E+00
   -82.62500    	    273.6875    	   0.0000000E+00
   -82.87500    	    273.8125    	   0.0000000E+00
   -82.62500    	    273.8125    	   0.0000000E+00
   -82.87500    	    273.9375    	   0.0000000E+00
   -82.62500    	    273.9375    	   0.0000000E+00
