Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    25.12500    	    2830.562    	   0.1518519    
    25.37500    	    2830.562    	   0.1388889    
    25.12500    	    2830.688    	   0.1333333    
    25.37500    	    2830.688    	   0.1166666    
    25.12500    	    2830.812    	    4.844444    
    25.37500    	    2830.812    	   0.4222223    
    25.12500    	    2830.938    	    3.159259    
    25.37500    	    2830.938    	    1.141667    
    25.12500    	    2831.062    	    1.007407    
    25.37500    	    2831.062    	    1.677778    
    25.12500    	    2831.188    	    2.540741    
    25.37500    	    2831.188    	    6.813889    
    25.12500    	    2831.312    	    1.603703    
    25.37500    	    2831.312    	    2.594444    
    25.12500    	    2831.438    	   0.0000000E+00
    25.37500    	    2831.438    	   0.0000000E+00
    25.12500    	    2831.562    	   0.0000000E+00
    25.37500    	    2831.562    	   0.0000000E+00
