X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -94.37500    	    1740.812    	    1.452778    
   -94.12500    	    1740.812    	   0.8666666    
   -94.37500    	    1740.938    	    4.469445    
   -94.12500    	    1740.938    	    3.748148    
   -94.37500    	    1741.062    	    4.986112    
   -94.12500    	    1741.062    	    4.974073    
   -94.37500    	    1741.188    	    5.713889    
   -94.12500    	    1741.188    	    5.448148    
   -94.37500    	    1741.312    	    4.705555    
   -94.12500    	    1741.312    	    4.292593    
   -94.37500    	    1741.438    	   0.4833334    
   -94.12500    	    1741.438    	   0.7000000    
   -94.37500    	    1741.562    	   0.0000000E+00
   -94.12500    	    1741.562    	   0.0000000E+00
   -94.37500    	    1741.688    	   0.0000000E+00
   -94.12500    	    1741.688    	   0.0000000E+00
   -94.37500    	    1741.812    	   0.0000000E+00
   -94.12500    	    1741.812    	   0.0000000E+00
