X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -53.37500    	    2845.188    	   3.6111116E-02
   -53.12500    	    2845.188    	   6.2500001E-03
   -53.37500    	    2845.312    	   0.7527779    
   -53.12500    	    2845.312    	   0.3875001    
   -53.37500    	    2845.438    	    5.533331    
   -53.12500    	    2845.438    	    3.385415    
   -53.37500    	    2845.562    	    1.311111    
   -53.12500    	    2845.562    	   0.9749999    
   -53.37500    	    2845.688    	   8.3333338E-03
   -53.12500    	    2845.688    	   1.8750003E-02
   -53.37500    	    2845.812    	   1.3888889E-02
   -53.12500    	    2845.812    	   1.4583334E-02
   -53.37500    	    2845.938    	   3.3333339E-02
   -53.12500    	    2845.938    	   2.0833336E-02
   -53.37500    	    2846.062    	   0.0000000E+00
   -53.12500    	    2846.062    	   0.0000000E+00
   -53.37500    	    2846.188    	   0.0000000E+00
   -53.12500    	    2846.188    	   0.0000000E+00
