X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -75.87500    	    2101.562    	   0.1083333    
   -75.62500    	    2101.562    	   0.1416667    
   -75.87500    	    2101.688    	   0.1812499    
   -75.62500    	    2101.688    	   0.3250000    
   -75.87500    	    2101.812    	   0.8062499    
   -75.62500    	    2101.812    	    2.119445    
   -75.87500    	    2101.938    	    4.831250    
   -75.62500    	    2101.938    	    5.552779    
   -75.87500    	    2102.062    	    3.797915    
   -75.62500    	    2102.062    	    3.147222    
   -75.87500    	    2102.188    	    3.156251    
   -75.62500    	    2102.188    	    1.941667    
   -75.87500    	    2102.312    	   0.7770833    
   -75.62500    	    2102.312    	    1.388889    
   -75.87500    	    2102.438    	    1.904166    
   -75.62500    	    2102.438    	    2.994444    
   -75.87500    	    2102.562    	   0.8374999    
   -75.62500    	    2102.562    	    2.683332    
