X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -94.87500    	    29.12500    	    2106.812    	   1.6666668E-02
   -94.62500    	    29.12500    	    2106.812    	   7.4074075E-02
   -94.87500    	    29.37500    	    2106.812    	   6.2500001E-03
   -94.62500    	    29.37500    	    2106.812    	   3.3333339E-02
   -94.87500    	    29.12500    	    2106.938    	    2.397222    
   -94.62500    	    29.12500    	    2106.938    	    2.133333    
   -94.87500    	    29.37500    	    2106.938    	    1.977083    
   -94.62500    	    29.37500    	    2106.938    	    2.075001    
   -94.87500    	    29.12500    	    2107.062    	    3.147222    
   -94.62500    	    29.12500    	    2107.062    	    4.200000    
   -94.87500    	    29.37500    	    2107.062    	    2.075000    
   -94.62500    	    29.37500    	    2107.062    	    2.130555    
   -94.87500    	    29.12500    	    2107.188    	    1.555556    
   -94.62500    	    29.12500    	    2107.188    	   0.9629631    
   -94.87500    	    29.37500    	    2107.188    	    1.122916    
   -94.62500    	    29.37500    	    2107.188    	   0.2222222    
   -94.87500    	    29.12500    	    2107.312    	    6.052778    
   -94.62500    	    29.12500    	    2107.312    	    3.029629    
   -94.87500    	    29.37500    	    2107.312    	    1.524999    
   -94.62500    	    29.37500    	    2107.312    	   0.5944445    
   -94.87500    	    29.12500    	    2107.438    	    5.427777    
   -94.62500    	    29.12500    	    2107.438    	    4.022222    
   -94.87500    	    29.37500    	    2107.438    	    6.531250    
   -94.62500    	    29.37500    	    2107.438    	    4.363890    
   -94.87500    	    29.12500    	    2107.562    	    1.969445    
   -94.62500    	    29.12500    	    2107.562    	    1.285185    
   -94.87500    	    29.37500    	    2107.562    	    3.947915    
   -94.62500    	    29.37500    	    2107.562    	    2.772223    
   -94.87500    	    29.12500    	    2107.688    	    1.188889    
   -94.62500    	    29.12500    	    2107.688    	    2.592592    
   -94.87500    	    29.37500    	    2107.688    	   0.6333334    
   -94.62500    	    29.37500    	    2107.688    	   0.6555555    
   -94.87500    	    29.12500    	    2107.812    	   0.4972222    
   -94.62500    	    29.12500    	    2107.812    	   0.8629636    
   -94.87500    	    29.37500    	    2107.812    	    1.168750    
   -94.62500    	    29.37500    	    2107.812    	    1.541667    
