X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -97.87500    	    23.62500    	    3935.938    	   0.2000000    
   -97.62500    	    23.62500    	    3935.938    	   9.1666669E-02
   -97.87500    	    23.87500    	    3935.938    	   0.3000000    
   -97.62500    	    23.87500    	    3935.938    	   0.2500000    
   -97.87500    	    23.62500    	    3936.062    	   8.8888891E-02
   -97.62500    	    23.62500    	    3936.062    	   3.9583337E-02
   -97.87500    	    23.87500    	    3936.062    	   0.0000000E+00
   -97.62500    	    23.87500    	    3936.062    	   5.5555557E-03
   -97.87500    	    23.62500    	    3936.188    	    1.108333    
   -97.62500    	    23.62500    	    3936.188    	    1.591666    
   -97.87500    	    23.87500    	    3936.188    	   5.9259262E-02
   -97.62500    	    23.87500    	    3936.188    	   0.3277778    
   -97.87500    	    23.62500    	    3936.312    	    8.891669    
   -97.62500    	    23.62500    	    3936.312    	    8.891665    
   -97.87500    	    23.87500    	    3936.312    	   0.8962964    
   -97.62500    	    23.87500    	    3936.312    	    2.352778    
   -97.87500    	    23.62500    	    3936.438    	    12.76389    
   -97.62500    	    23.62500    	    3936.438    	    10.01458    
   -97.87500    	    23.87500    	    3936.438    	    7.648149    
   -97.62500    	    23.87500    	    3936.438    	    10.42222    
   -97.87500    	    23.62500    	    3936.562    	    1.105556    
   -97.62500    	    23.62500    	    3936.562    	    1.916667    
   -97.87500    	    23.87500    	    3936.562    	    1.125926    
   -97.62500    	    23.87500    	    3936.562    	    1.488889    
   -97.87500    	    23.62500    	    3936.688    	    2.466667    
   -97.62500    	    23.62500    	    3936.688    	    2.241667    
   -97.87500    	    23.87500    	    3936.688    	    4.033335    
   -97.62500    	    23.87500    	    3936.688    	    5.341667    
   -97.87500    	    23.62500    	    3936.812    	    3.344445    
   -97.62500    	    23.62500    	    3936.812    	    3.468749    
   -97.87500    	    23.87500    	    3936.812    	    4.737037    
   -97.62500    	    23.87500    	    3936.812    	    3.463889    
   -97.87500    	    23.62500    	    3936.938    	    1.666667    
   -97.62500    	    23.62500    	    3936.938    	   0.4125001    
   -97.87500    	    23.87500    	    3936.938    	    1.625926    
   -97.62500    	    23.87500    	    3936.938    	   0.4944445    
