Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    17.62500    	    3179.438    	   1.4814815E-02
    17.87500    	    3179.438    	   3.3333339E-02
    17.62500    	    3179.562    	   0.2925926    
    17.87500    	    3179.562    	   0.2722223    
    17.62500    	    3179.688    	    2.107408    
    17.87500    	    3179.688    	    3.500000    
    17.62500    	    3179.812    	    2.196296    
    17.87500    	    3179.812    	    3.580555    
    17.62500    	    3179.938    	    1.688889    
    17.87500    	    3179.938    	    2.625000    
    17.62500    	    3180.062    	    1.944444    
    17.87500    	    3180.062    	    6.566666    
    17.62500    	    3180.188    	    1.429630    
    17.87500    	    3180.188    	    4.236112    
    17.62500    	    3180.312    	    3.922223    
    17.87500    	    3180.312    	    5.422220    
    17.62500    	    3180.438    	    2.888889    
    17.87500    	    3180.438    	    3.825000    
