X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -74.12500    	    3182.188    	   0.1312500    
   -73.87500    	    3182.188    	   0.2916666    
   -74.12500    	    3182.312    	    1.420833    
   -73.87500    	    3182.312    	    6.063890    
   -74.12500    	    3182.438    	    4.395833    
   -73.87500    	    3182.438    	    6.094444    
   -74.12500    	    3182.562    	    5.852085    
   -73.87500    	    3182.562    	    5.694443    
   -74.12500    	    3182.688    	    10.50625    
   -73.87500    	    3182.688    	    13.73333    
   -74.12500    	    3182.812    	    6.402084    
   -73.87500    	    3182.812    	    6.322222    
   -74.12500    	    3182.938    	    8.124999    
   -73.87500    	    3182.938    	    6.863887    
   -74.12500    	    3183.062    	    5.908336    
   -73.87500    	    3183.062    	    3.941667    
   -74.12500    	    3183.188    	    2.291667    
   -73.87500    	    3183.188    	    1.613888    
