X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -76.37500    	    24.62500    	    3182.938    	    5.258333    
   -76.12500    	    24.62500    	    3182.938    	    7.027777    
   -76.37500    	    24.87500    	    3182.938    	    3.833332    
   -76.12500    	    24.87500    	    3182.938    	    5.207407    
   -76.37500    	    24.62500    	    3183.062    	    3.550000    
   -76.12500    	    24.62500    	    3183.062    	    3.986111    
   -76.37500    	    24.87500    	    3183.062    	    3.481480    
   -76.12500    	    24.87500    	    3183.062    	    3.925926    
   -76.37500    	    24.62500    	    3183.188    	    3.083333    
   -76.12500    	    24.62500    	    3183.188    	    4.805556    
   -76.37500    	    24.87500    	    3183.188    	    3.070371    
   -76.12500    	    24.87500    	    3183.188    	    4.503705    
   -76.37500    	    24.62500    	    3183.312    	    4.205553    
   -76.12500    	    24.62500    	    3183.312    	    3.583334    
   -76.37500    	    24.87500    	    3183.312    	    5.970369    
   -76.12500    	    24.87500    	    3183.312    	    7.007407    
   -76.37500    	    24.62500    	    3183.438    	    4.077778    
   -76.12500    	    24.62500    	    3183.438    	    5.041667    
   -76.37500    	    24.87500    	    3183.438    	    8.192593    
   -76.12500    	    24.87500    	    3183.438    	    9.151853    
   -76.37500    	    24.62500    	    3183.562    	    1.572222    
   -76.12500    	    24.62500    	    3183.562    	    2.263889    
   -76.37500    	    24.87500    	    3183.562    	    4.122223    
   -76.12500    	    24.87500    	    3183.562    	    3.629630    
   -76.37500    	    24.62500    	    3183.688    	    1.083333    
   -76.12500    	    24.62500    	    3183.688    	    1.150000    
   -76.37500    	    24.87500    	    3183.688    	    1.699999    
   -76.12500    	    24.87500    	    3183.688    	    1.555556    
   -76.37500    	    24.62500    	    3183.812    	    1.138888    
   -76.12500    	    24.62500    	    3183.812    	   0.9805553    
   -76.37500    	    24.87500    	    3183.812    	    1.144444    
   -76.12500    	    24.87500    	    3183.812    	    1.007408    
   -76.37500    	    24.62500    	    3183.938    	   0.4500000    
   -76.12500    	    24.62500    	    3183.938    	   0.2638889    
   -76.37500    	    24.87500    	    3183.938    	   1.8518519E-02
   -76.12500    	    24.87500    	    3183.938    	   0.0000000E+00
