X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -61.87500    	    17.62500    	    5386.688    	   0.0000000E+00
   -61.62500    	    17.62500    	    5386.688    	   1.6666668E-02
   -61.87500    	    17.87500    	    5386.688    	   0.0000000E+00
   -61.62500    	    17.87500    	    5386.688    	   0.0000000E+00
   -61.87500    	    17.62500    	    5386.812    	   0.7851852    
   -61.62500    	    17.62500    	    5386.812    	    1.300000    
   -61.87500    	    17.87500    	    5386.812    	   0.9916666    
   -61.62500    	    17.87500    	    5386.812    	    2.185417    
   -61.87500    	    17.62500    	    5386.938    	   0.2814815    
   -61.62500    	    17.62500    	    5386.938    	   0.5194444    
   -61.87500    	    17.87500    	    5386.938    	   0.3361111    
   -61.62500    	    17.87500    	    5386.938    	   0.4000000    
   -61.87500    	    17.62500    	    5387.062    	    3.929630    
   -61.62500    	    17.62500    	    5387.062    	    8.055556    
   -61.87500    	    17.87500    	    5387.062    	    3.302778    
   -61.62500    	    17.87500    	    5387.062    	    5.918750    
   -61.87500    	    17.62500    	    5387.188    	    18.46297    
   -61.62500    	    17.62500    	    5387.188    	    21.25000    
   -61.87500    	    17.87500    	    5387.188    	    14.82778    
   -61.62500    	    17.87500    	    5387.188    	    14.75833    
   -61.87500    	    17.62500    	    5387.312    	    24.23704    
   -61.62500    	    17.62500    	    5387.312    	    12.33056    
   -61.87500    	    17.87500    	    5387.312    	    18.86389    
   -61.62500    	    17.87500    	    5387.312    	    12.87917    
   -61.87500    	    17.62500    	    5387.438    	    1.877778    
   -61.62500    	    17.62500    	    5387.438    	    2.119444    
   -61.87500    	    17.87500    	    5387.438    	    5.297222    
   -61.62500    	    17.87500    	    5387.438    	    4.383334    
   -61.87500    	    17.62500    	    5387.562    	    3.548148    
   -61.62500    	    17.62500    	    5387.562    	    2.927778    
   -61.87500    	    17.87500    	    5387.562    	    4.875000    
   -61.62500    	    17.87500    	    5387.562    	    4.166667    
   -61.87500    	    17.62500    	    5387.688    	    1.503704    
   -61.62500    	    17.62500    	    5387.688    	    1.286111    
   -61.87500    	    17.87500    	    5387.688    	    2.727778    
   -61.62500    	    17.87500    	    5387.688    	    2.602083    
