Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    18.37500    	    5387.188    	   0.0000000E+00
    18.62500    	    5387.188    	   0.0000000E+00
    18.37500    	    5387.312    	   0.1083333    
    18.62500    	    5387.312    	   4.1666668E-02
    18.37500    	    5387.438    	    5.125000    
    18.62500    	    5387.438    	    4.822222    
    18.37500    	    5387.562    	    7.097917    
    18.62500    	    5387.562    	    5.247222    
    18.37500    	    5387.688    	    11.10417    
    18.62500    	    5387.688    	    9.516667    
    18.37500    	    5387.812    	    12.97708    
    18.62500    	    5387.812    	    11.66389    
    18.37500    	    5387.938    	    1.689583    
    18.62500    	    5387.938    	    2.875000    
    18.37500    	    5388.062    	   0.4437500    
    18.62500    	    5388.062    	    1.413889    
    18.37500    	    5388.188    	   6.2500000E-02
    18.62500    	    5388.188    	   0.5638888    
