X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -81.87500    	    5391.312    	    2.022222    
   -81.62500    	    5391.312    	    1.983333    
   -81.87500    	    5391.438    	    4.752778    
   -81.62500    	    5391.438    	    4.054167    
   -81.87500    	    5391.562    	    2.005556    
   -81.62500    	    5391.562    	    1.472917    
   -81.87500    	    5391.688    	    2.452778    
   -81.62500    	    5391.688    	    5.339583    
   -81.87500    	    5391.812    	    5.419445    
   -81.62500    	    5391.812    	    5.639583    
   -81.87500    	    5391.938    	    2.463889    
   -81.62500    	    5391.938    	    4.222917    
   -81.87500    	    5392.062    	   7.7777781E-02
   -81.62500    	    5392.062    	   3.9583333E-02
   -81.87500    	    5392.188    	   0.0000000E+00
   -81.62500    	    5392.188    	   0.0000000E+00
   -81.87500    	    5392.312    	   0.0000000E+00
   -81.62500    	    5392.312    	   0.0000000E+00
