X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -74.62500    	    3549.188    	   0.3333334    
   -74.37500    	    3549.188    	   0.4222223    
   -74.62500    	    3549.312    	   0.0000000E+00
   -74.37500    	    3549.312    	   0.0000000E+00
   -74.62500    	    3549.438    	   0.0000000E+00
   -74.37500    	    3549.438    	   0.0000000E+00
   -74.62500    	    3549.562    	   0.0000000E+00
   -74.37500    	    3549.562    	   0.0000000E+00
   -74.62500    	    3549.688    	   8.3333338E-03
   -74.37500    	    3549.688    	   0.1861112    
   -74.62500    	    3549.812    	   0.4388889    
   -74.37500    	    3549.812    	   0.6333332    
   -74.62500    	    3549.938    	    2.591667    
   -74.37500    	    3549.938    	    1.816667    
   -74.62500    	    3550.062    	    9.647221    
   -74.37500    	    3550.062    	    5.019444    
   -74.62500    	    3550.188    	    6.594442    
   -74.37500    	    3550.188    	    2.713889    
