X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -90.37500    	    29.12500    	    3552.812    	   0.1555556    
   -90.12500    	    29.12500    	    3552.812    	   0.3481481    
   -90.37500    	    29.37500    	    3552.812    	   4.1666669E-03
   -90.12500    	    29.37500    	    3552.812    	   2.7777782E-02
   -90.37500    	    29.12500    	    3552.938    	    1.225000    
   -90.12500    	    29.12500    	    3552.938    	    1.074074    
   -90.37500    	    29.37500    	    3552.938    	   0.7708330    
   -90.12500    	    29.37500    	    3552.938    	   0.8138891    
   -90.37500    	    29.12500    	    3553.062    	    3.266667    
   -90.12500    	    29.12500    	    3553.062    	    5.462964    
   -90.37500    	    29.37500    	    3553.062    	    2.191667    
   -90.12500    	    29.37500    	    3553.062    	    2.869445    
   -90.37500    	    29.12500    	    3553.188    	   0.6583334    
   -90.12500    	    29.12500    	    3553.188    	   0.1185185    
   -90.37500    	    29.37500    	    3553.188    	    2.172916    
   -90.12500    	    29.37500    	    3553.188    	    1.397222    
   -90.37500    	    29.12500    	    3553.312    	   0.1916667    
   -90.12500    	    29.12500    	    3553.312    	   8.8888891E-02
   -90.37500    	    29.37500    	    3553.312    	   0.9874999    
   -90.12500    	    29.37500    	    3553.312    	    1.230555    
   -90.37500    	    29.12500    	    3553.438    	   0.7444444    
   -90.12500    	    29.12500    	    3553.438    	   0.9111111    
   -90.37500    	    29.37500    	    3553.438    	   0.1583333    
   -90.12500    	    29.37500    	    3553.438    	   0.1361111    
   -90.37500    	    29.12500    	    3553.562    	    1.363889    
   -90.12500    	    29.12500    	    3553.562    	    3.211111    
   -90.37500    	    29.37500    	    3553.562    	   9.5833324E-02
   -90.12500    	    29.37500    	    3553.562    	   0.9472222    
   -90.37500    	    29.12500    	    3553.688    	    2.641667    
   -90.12500    	    29.12500    	    3553.688    	    2.607408    
   -90.37500    	    29.37500    	    3553.688    	    1.837499    
   -90.12500    	    29.37500    	    3553.688    	    1.825000    
   -90.37500    	    29.12500    	    3553.812    	    1.322222    
   -90.12500    	    29.12500    	    3553.812    	    1.177778    
   -90.37500    	    29.37500    	    3553.812    	    3.068750    
   -90.12500    	    29.37500    	    3553.812    	   0.8666667    
