X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -76.37500    	    285.1875    	    2.133333    
   -76.12500    	    285.1875    	    2.418518    
   -76.37500    	    285.3125    	    2.125926    
   -76.12500    	    285.3125    	    1.711111    
   -76.37500    	    285.4375    	    2.288889    
   -76.12500    	    285.4375    	    2.077778    
   -76.37500    	    285.5625    	    3.203704    
   -76.12500    	    285.5625    	    4.196297    
   -76.37500    	    285.6875    	    1.659260    
   -76.12500    	    285.6875    	   0.8185186    
   -76.37500    	    285.8125    	    1.322222    
   -76.12500    	    285.8125    	   0.2962964    
   -76.37500    	    285.9375    	   0.0000000E+00
   -76.12500    	    285.9375    	   0.0000000E+00
   -76.37500    	    286.0625    	   0.0000000E+00
   -76.12500    	    286.0625    	   1.4814815E-02
   -76.37500    	    286.1875    	   0.0000000E+00
   -76.12500    	    286.1875    	   0.0000000E+00
