Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    30.12500    	    648.8125    	    6.172224    
    30.37500    	    648.8125    	    8.445834    
    30.12500    	    648.9375    	    4.394444    
    30.37500    	    648.9375    	    4.577084    
    30.12500    	    649.0625    	    4.019445    
    30.37500    	    649.0625    	    4.022916    
    30.12500    	    649.1875    	    1.977778    
    30.37500    	    649.1875    	    3.445833    
    30.12500    	    649.3125    	   0.4055555    
    30.37500    	    649.3125    	    1.079167    
    30.12500    	    649.4375    	   0.0000000E+00
    30.37500    	    649.4375    	   0.0000000E+00
    30.12500    	    649.5625    	   0.0000000E+00
    30.37500    	    649.5625    	   0.0000000E+00
    30.12500    	    649.6875    	   0.0000000E+00
    30.37500    	    649.6875    	   0.0000000E+00
    30.12500    	    649.8125    	   0.0000000E+00
    30.37500    	    649.8125    	   0.0000000E+00
