X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -68.37500    	    648.9375    	   8.1481487E-02
   -68.12500    	    648.9375    	   0.1185185    
   -68.37500    	    649.0625    	    1.159259    
   -68.12500    	    649.0625    	    2.481482    
   -68.37500    	    649.1875    	    6.662962    
   -68.12500    	    649.1875    	    8.407409    
   -68.37500    	    649.3125    	    3.225925    
   -68.12500    	    649.3125    	    2.666666    
   -68.37500    	    649.4375    	    4.907407    
   -68.12500    	    649.4375    	    9.355556    
   -68.37500    	    649.5625    	    13.55556    
   -68.12500    	    649.5625    	    11.27037    
   -68.37500    	    649.6875    	    1.403704    
   -68.12500    	    649.6875    	    1.400000    
   -68.37500    	    649.8125    	    4.829629    
   -68.12500    	    649.8125    	    5.911110    
   -68.37500    	    649.9375    	    14.32592    
   -68.12500    	    649.9375    	    14.82593    
