X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -80.37500    	    27.12500    	    658.6875    	    1.137037    
   -80.12500    	    27.12500    	    658.6875    	    1.618518    
   -80.37500    	    27.37500    	    658.6875    	    1.366667    
   -80.12500    	    27.37500    	    658.6875    	    1.914815    
   -80.37500    	    27.12500    	    658.8125    	   0.6111111    
   -80.12500    	    27.12500    	    658.8125    	   0.9888889    
   -80.37500    	    27.37500    	    658.8125    	   0.5481482    
   -80.12500    	    27.37500    	    658.8125    	    1.059259    
   -80.37500    	    27.12500    	    658.9375    	    6.900000    
   -80.12500    	    27.12500    	    658.9375    	    8.214814    
   -80.37500    	    27.37500    	    658.9375    	    6.688889    
   -80.12500    	    27.37500    	    658.9375    	    7.914815    
   -80.37500    	    27.12500    	    659.0625    	    12.61852    
   -80.12500    	    27.12500    	    659.0625    	    12.18148    
   -80.37500    	    27.37500    	    659.0625    	    14.11481    
   -80.12500    	    27.37500    	    659.0625    	    12.44444    
   -80.37500    	    27.12500    	    659.1875    	    1.788889    
   -80.12500    	    27.12500    	    659.1875    	   0.7111114    
   -80.37500    	    27.37500    	    659.1875    	    1.937037    
   -80.12500    	    27.37500    	    659.1875    	   0.6888890    
   -80.37500    	    27.12500    	    659.3125    	   0.4222224    
   -80.12500    	    27.12500    	    659.3125    	   0.1925925    
   -80.37500    	    27.37500    	    659.3125    	   0.3444445    
   -80.12500    	    27.37500    	    659.3125    	   0.4111111    
   -80.37500    	    27.12500    	    659.4375    	   0.2888888    
   -80.12500    	    27.12500    	    659.4375    	   8.1481487E-02
   -80.37500    	    27.37500    	    659.4375    	   0.4037038    
   -80.12500    	    27.37500    	    659.4375    	   0.3222221    
   -80.37500    	    27.12500    	    659.5625    	   7.4074077E-03
   -80.12500    	    27.12500    	    659.5625    	   0.0000000E+00
   -80.37500    	    27.37500    	    659.5625    	   8.1481487E-02
   -80.12500    	    27.37500    	    659.5625    	   1.1111111E-02
   -80.37500    	    27.12500    	    659.6875    	   0.0000000E+00
   -80.12500    	    27.12500    	    659.6875    	   0.0000000E+00
   -80.37500    	    27.37500    	    659.6875    	   3.7037039E-03
   -80.12500    	    27.37500    	    659.6875    	   0.0000000E+00
