X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -73.87500    	    4681.062    	    12.33333    
   -73.62500    	    4681.062    	    12.39722    
   -73.87500    	    4681.188    	    8.425926    
   -73.62500    	    4681.188    	    8.433334    
   -73.87500    	    4681.312    	    9.944445    
   -73.62500    	    4681.312    	    12.25000    
   -73.87500    	    4681.438    	    11.84074    
   -73.62500    	    4681.438    	    11.53056    
   -73.87500    	    4681.562    	    10.45185    
   -73.62500    	    4681.562    	    18.43888    
   -73.87500    	    4681.688    	    18.99259    
   -73.62500    	    4681.688    	    16.75278    
   -73.87500    	    4681.812    	    15.71111    
   -73.62500    	    4681.812    	    18.61111    
   -73.87500    	    4681.938    	    13.22593    
   -73.62500    	    4681.938    	    15.28333    
   -73.87500    	    4682.062    	    13.11482    
   -73.62500    	    4682.062    	    15.00834    
