Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    19.62500    	    989.6875    	    2.191667    
    19.87500    	    989.6875    	    1.685185    
    19.62500    	    989.8125    	    1.977778    
    19.87500    	    989.8125    	    1.125926    
    19.62500    	    989.9375    	    1.072222    
    19.87500    	    989.9375    	    1.437037    
    19.62500    	    990.0625    	    10.77222    
    19.87500    	    990.0625    	    5.588891    
    19.62500    	    990.1875    	    4.672225    
    19.87500    	    990.1875    	    4.955558    
    19.62500    	    990.3125    	   0.5944445    
    19.87500    	    990.3125    	   0.1629630    
    19.62500    	    990.4375    	   0.0000000E+00
    19.87500    	    990.4375    	   0.0000000E+00
    19.62500    	    990.5625    	    1.405555    
    19.87500    	    990.5625    	    3.466666    
    19.62500    	    990.6875    	    5.683332    
    19.87500    	    990.6875    	    5.074075    
