X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -63.87500    	    295.6875    	   0.0000000E+00
   -63.62500    	    295.6875    	   0.0000000E+00
   -63.87500    	    295.8125    	   0.0000000E+00
   -63.62500    	    295.8125    	   0.0000000E+00
   -63.87500    	    295.9375    	   0.2833333    
   -63.62500    	    295.9375    	   0.2888889    
   -63.87500    	    296.0625    	    2.466667    
   -63.62500    	    296.0625    	    3.537037    
   -63.87500    	    296.1875    	   0.7750001    
   -63.62500    	    296.1875    	    1.755555    
   -63.87500    	    296.3125    	   0.0000000E+00
   -63.62500    	    296.3125    	   0.0000000E+00
   -63.87500    	    296.4375    	    1.522222    
   -63.62500    	    296.4375    	    1.266667    
   -63.87500    	    296.5625    	   5.5555563E-02
   -63.62500    	    296.5625    	   4.8148151E-02
   -63.87500    	    296.6875    	   0.0000000E+00
   -63.62500    	    296.6875    	   0.0000000E+00
