X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -80.37500    	    27.12500    	    5028.812    	   0.0000000E+00
   -80.12500    	    27.12500    	    5028.812    	   0.0000000E+00
   -80.37500    	    27.37500    	    5028.812    	   0.0000000E+00
   -80.12500    	    27.37500    	    5028.812    	   7.4074077E-03
   -80.37500    	    27.12500    	    5028.938    	   0.0000000E+00
   -80.12500    	    27.12500    	    5028.938    	   0.0000000E+00
   -80.37500    	    27.37500    	    5028.938    	   0.0000000E+00
   -80.12500    	    27.37500    	    5028.938    	   6.6666670E-02
   -80.37500    	    27.12500    	    5029.062    	   0.0000000E+00
   -80.12500    	    27.12500    	    5029.062    	   7.4074077E-03
   -80.37500    	    27.37500    	    5029.062    	   0.0000000E+00
   -80.12500    	    27.37500    	    5029.062    	   4.4444446E-02
   -80.37500    	    27.12500    	    5029.188    	   0.0000000E+00
   -80.12500    	    27.12500    	    5029.188    	    1.281482    
   -80.37500    	    27.37500    	    5029.188    	   0.0000000E+00
   -80.12500    	    27.37500    	    5029.188    	   0.6222222    
   -80.37500    	    27.12500    	    5029.312    	   0.0000000E+00
   -80.12500    	    27.12500    	    5029.312    	    3.992593    
   -80.37500    	    27.37500    	    5029.312    	   0.0000000E+00
   -80.12500    	    27.37500    	    5029.312    	    1.866667    
   -80.37500    	    27.12500    	    5029.438    	   0.0000000E+00
   -80.12500    	    27.12500    	    5029.438    	   0.6444444    
   -80.37500    	    27.37500    	    5029.438    	   9.2592597E-02
   -80.12500    	    27.37500    	    5029.438    	   0.6370370    
   -80.37500    	    27.12500    	    5029.562    	   0.2000000    
   -80.12500    	    27.12500    	    5029.562    	    1.133333    
   -80.37500    	    27.37500    	    5029.562    	   0.2000000    
   -80.12500    	    27.37500    	    5029.562    	    3.166667    
   -80.37500    	    27.12500    	    5029.688    	   0.1888889    
   -80.12500    	    27.12500    	    5029.688    	   0.4074074    
   -80.37500    	    27.37500    	    5029.688    	   2.2222223E-02
   -80.12500    	    27.37500    	    5029.688    	    1.003704    
   -80.37500    	    27.12500    	    5029.812    	   0.5333332    
   -80.12500    	    27.12500    	    5029.812    	   0.6851852    
   -80.37500    	    27.37500    	    5029.812    	   1.8518519E-02
   -80.12500    	    27.37500    	    5029.812    	   0.7814815    
