X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -65.37500    	    18.12500    	    6135.438    	   0.4966666    
   -65.12500    	    18.12500    	    6135.438    	    1.070000    
   -65.37500    	    18.37500    	    6135.438    	    1.446667    
   -65.12500    	    18.37500    	    6135.438    	    7.273333    
   -65.37500    	    18.12500    	    6135.562    	   0.5400000    
   -65.12500    	    18.12500    	    6135.562    	   0.7033333    
   -65.37500    	    18.37500    	    6135.562    	   0.5400000    
   -65.12500    	    18.37500    	    6135.562    	    1.516667    
   -65.37500    	    18.12500    	    6135.688    	   0.1233333    
   -65.12500    	    18.12500    	    6135.688    	   2.6666665E-02
   -65.37500    	    18.37500    	    6135.688    	   8.6666666E-02
   -65.12500    	    18.37500    	    6135.688    	   0.0000000E+00
   -65.37500    	    18.12500    	    6135.812    	   0.2633333    
   -65.12500    	    18.12500    	    6135.812    	   0.3000000    
   -65.37500    	    18.37500    	    6135.812    	   0.1133333    
   -65.12500    	    18.37500    	    6135.812    	   9.6666664E-02
   -65.37500    	    18.12500    	    6135.938    	    5.083333    
   -65.12500    	    18.12500    	    6135.938    	    1.180000    
   -65.37500    	    18.37500    	    6135.938    	    3.590000    
   -65.12500    	    18.37500    	    6135.938    	   0.3200000    
   -65.37500    	    18.12500    	    6136.062    	   0.4666667    
   -65.12500    	    18.12500    	    6136.062    	   4.3333333E-02
   -65.37500    	    18.37500    	    6136.062    	    1.823333    
   -65.12500    	    18.37500    	    6136.062    	   7.6666661E-02
   -65.37500    	    18.12500    	    6136.188    	   0.0000000E+00
   -65.12500    	    18.12500    	    6136.188    	   0.1266667    
   -65.37500    	    18.37500    	    6136.188    	   4.9999997E-02
   -65.12500    	    18.37500    	    6136.188    	   2.3333332E-02
   -65.37500    	    18.12500    	    6136.312    	   0.0000000E+00
   -65.12500    	    18.12500    	    6136.312    	   0.1433333    
   -65.37500    	    18.37500    	    6136.312    	   7.9999998E-02
   -65.12500    	    18.37500    	    6136.312    	   0.2000000    
   -65.37500    	    18.12500    	    6136.438    	   3.3333332E-03
   -65.12500    	    18.12500    	    6136.438    	   2.6666665E-02
   -65.37500    	    18.37500    	    6136.438    	   9.9999998E-03
   -65.12500    	    18.37500    	    6136.438    	   2.6666665E-02
