X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -87.87500    	    18.37500    	    2839.062    	    1.137500    
   -87.62500    	    18.37500    	    2839.062    	    2.125000    
   -87.87500    	    18.62500    	    2839.062    	   0.8416666    
   -87.62500    	    18.62500    	    2839.062    	    2.085185    
   -87.87500    	    18.37500    	    2839.188    	    3.150000    
   -87.62500    	    18.37500    	    2839.188    	    3.875001    
   -87.87500    	    18.62500    	    2839.188    	    3.755556    
   -87.62500    	    18.62500    	    2839.188    	    4.629630    
   -87.87500    	    18.37500    	    2839.312    	    6.310419    
   -87.62500    	    18.37500    	    2839.312    	    8.119445    
   -87.87500    	    18.62500    	    2839.312    	    5.874999    
   -87.62500    	    18.62500    	    2839.312    	    5.903705    
   -87.87500    	    18.37500    	    2839.438    	    11.25000    
   -87.62500    	    18.37500    	    2839.438    	    11.36389    
   -87.87500    	    18.62500    	    2839.438    	    9.994447    
   -87.62500    	    18.62500    	    2839.438    	    11.07407    
   -87.87500    	    18.37500    	    2839.562    	    18.71250    
   -87.62500    	    18.37500    	    2839.562    	    18.64723    
   -87.87500    	    18.62500    	    2839.562    	    16.97222    
   -87.62500    	    18.62500    	    2839.562    	    18.11852    
   -87.87500    	    18.37500    	    2839.688    	    5.206250    
   -87.62500    	    18.37500    	    2839.688    	    2.694443    
   -87.87500    	    18.62500    	    2839.688    	    5.816666    
   -87.62500    	    18.62500    	    2839.688    	    2.440741    
   -87.87500    	    18.37500    	    2839.812    	   6.0416672E-02
   -87.62500    	    18.37500    	    2839.812    	   0.0000000E+00
   -87.87500    	    18.62500    	    2839.812    	   0.2722222    
   -87.62500    	    18.62500    	    2839.812    	   0.0000000E+00
   -87.87500    	    18.37500    	    2839.938    	   0.0000000E+00
   -87.62500    	    18.37500    	    2839.938    	   0.0000000E+00
   -87.87500    	    18.62500    	    2839.938    	   0.0000000E+00
   -87.62500    	    18.62500    	    2839.938    	   0.0000000E+00
   -87.87500    	    18.37500    	    2840.062    	   0.0000000E+00
   -87.62500    	    18.37500    	    2840.062    	   0.0000000E+00
   -87.87500    	    18.62500    	    2840.062    	   0.0000000E+00
   -87.62500    	    18.62500    	    2840.062    	   0.0000000E+00
