Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    30.12500    	    996.0625    	    2.436111    
    30.37500    	    996.0625    	    3.716667    
    30.12500    	    996.1875    	    5.891668    
    30.37500    	    996.1875    	    5.120833    
    30.12500    	    996.3125    	    4.777779    
    30.37500    	    996.3125    	    4.352084    
    30.12500    	    996.4375    	    10.98611    
    30.37500    	    996.4375    	    7.437500    
    30.12500    	    996.5625    	    13.41666    
    30.37500    	    996.5625    	    19.62708    
    30.12500    	    996.6875    	   0.1083333    
    30.37500    	    996.6875    	    4.979167    
    30.12500    	    996.8125    	   0.3444445    
    30.37500    	    996.8125    	    1.006250    
    30.12500    	    996.9375    	   0.0000000E+00
    30.37500    	    996.9375    	   6.2500001E-03
    30.12500    	    997.0625    	   0.0000000E+00
    30.37500    	    997.0625    	   0.0000000E+00
