Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    13.62500    	    5773.562    	   0.3533333    
    13.87500    	    5773.562    	   0.1366667    
    13.62500    	    5773.688    	   0.0000000E+00
    13.87500    	    5773.688    	   0.0000000E+00
    13.62500    	    5773.812    	   0.0000000E+00
    13.87500    	    5773.812    	   0.0000000E+00
    13.62500    	    5773.938    	   0.1566667    
    13.87500    	    5773.938    	   1.6666666E-02
    13.62500    	    5774.062    	   0.4100000    
    13.87500    	    5774.062    	   0.8600000    
    13.62500    	    5774.188    	   0.3966667    
    13.87500    	    5774.188    	    2.476666    
    13.62500    	    5774.312    	   0.5199999    
    13.87500    	    5774.312    	   0.4033333    
    13.62500    	    5774.438    	   0.6233333    
    13.87500    	    5774.438    	   2.6666665E-02
    13.62500    	    5774.562    	   0.3233334    
    13.87500    	    5774.562    	   9.9999998E-03
