X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -66.37500    	    43.62500    	    2122.562    	    1.602778    
   -66.12500    	    43.62500    	    2122.562    	    1.402084    
   -66.37500    	    43.87500    	    2122.562    	   0.5925926    
   -66.12500    	    43.87500    	    2122.562    	   0.6666667    
   -66.37500    	    43.62500    	    2122.688    	    1.472222    
   -66.12500    	    43.62500    	    2122.688    	    1.816667    
   -66.37500    	    43.87500    	    2122.688    	    1.833333    
   -66.12500    	    43.87500    	    2122.688    	    2.408334    
   -66.37500    	    43.62500    	    2122.812    	    1.469444    
   -66.12500    	    43.62500    	    2122.812    	   0.6416667    
   -66.37500    	    43.87500    	    2122.812    	   0.4814815    
   -66.12500    	    43.87500    	    2122.812    	   0.1777778    
   -66.37500    	    43.62500    	    2122.938    	   0.1166667    
   -66.12500    	    43.62500    	    2122.938    	   7.7083342E-02
   -66.37500    	    43.87500    	    2122.938    	   0.6888888    
   -66.12500    	    43.87500    	    2122.938    	   0.2750000    
   -66.37500    	    43.62500    	    2123.062    	   0.1250000    
   -66.12500    	    43.62500    	    2123.062    	   3.7500005E-02
   -66.37500    	    43.87500    	    2123.062    	   0.7185186    
   -66.12500    	    43.87500    	    2123.062    	   0.2500000    
   -66.37500    	    43.62500    	    2123.188    	   9.9999994E-02
   -66.12500    	    43.62500    	    2123.188    	   0.0000000E+00
   -66.37500    	    43.87500    	    2123.188    	   0.1222222    
   -66.12500    	    43.87500    	    2123.188    	   3.3333335E-02
   -66.37500    	    43.62500    	    2123.312    	   0.0000000E+00
   -66.12500    	    43.62500    	    2123.312    	   0.0000000E+00
   -66.37500    	    43.87500    	    2123.312    	   2.5925927E-02
   -66.12500    	    43.87500    	    2123.312    	   8.3333338E-03
   -66.37500    	    43.62500    	    2123.438    	   0.0000000E+00
   -66.12500    	    43.62500    	    2123.438    	   0.0000000E+00
   -66.37500    	    43.87500    	    2123.438    	   0.0000000E+00
   -66.12500    	    43.87500    	    2123.438    	   0.0000000E+00
   -66.37500    	    43.62500    	    2123.562    	   0.0000000E+00
   -66.12500    	    43.62500    	    2123.562    	   0.0000000E+00
   -66.37500    	    43.87500    	    2123.562    	   0.0000000E+00
   -66.12500    	    43.87500    	    2123.562    	   0.0000000E+00
