X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -93.62500    	    301.9375    	   0.0000000E+00
   -93.37500    	    301.9375    	   0.0000000E+00
   -93.62500    	    302.0625    	   0.3354167    
   -93.37500    	    302.0625    	   0.1027778    
   -93.62500    	    302.1875    	    2.487500    
   -93.37500    	    302.1875    	    1.361111    
   -93.62500    	    302.3125    	    2.737499    
   -93.37500    	    302.3125    	    5.441668    
   -93.62500    	    302.4375    	    4.862501    
   -93.37500    	    302.4375    	    3.280556    
   -93.62500    	    302.5625    	    1.408333    
   -93.37500    	    302.5625    	    2.774999    
   -93.62500    	    302.6875    	    1.054167    
   -93.37500    	    302.6875    	    3.019444    
   -93.62500    	    302.8125    	   0.9791663    
   -93.37500    	    302.8125    	   0.6361112    
   -93.62500    	    302.9375    	   0.1041666    
   -93.37500    	    302.9375    	   7.7777766E-02
