X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -97.12500    	    20.37500    	    1755.688    	   0.5444444    
   -96.87500    	    20.37500    	    1755.688    	   0.4407407    
   -97.12500    	    20.62500    	    1755.688    	   0.5104167    
   -96.87500    	    20.62500    	    1755.688    	   0.5333334    
   -97.12500    	    20.37500    	    1755.812    	    12.71667    
   -96.87500    	    20.37500    	    1755.812    	    5.485186    
   -97.12500    	    20.62500    	    1755.812    	    6.133335    
   -96.87500    	    20.62500    	    1755.812    	    3.627778    
   -97.12500    	    20.37500    	    1755.938    	    16.18888    
   -96.87500    	    20.37500    	    1755.938    	    2.985186    
   -97.12500    	    20.62500    	    1755.938    	    7.585413    
   -96.87500    	    20.62500    	    1755.938    	    1.908333    
   -97.12500    	    20.37500    	    1756.062    	    1.497222    
   -96.87500    	    20.37500    	    1756.062    	    1.266667    
   -97.12500    	    20.62500    	    1756.062    	    1.010417    
   -96.87500    	    20.62500    	    1756.062    	    2.313889    
   -97.12500    	    20.37500    	    1756.188    	    2.722222    
   -96.87500    	    20.37500    	    1756.188    	    7.211111    
   -97.12500    	    20.62500    	    1756.188    	    6.102082    
   -96.87500    	    20.62500    	    1756.188    	    9.224998    
   -97.12500    	    20.37500    	    1756.312    	    5.005555    
   -96.87500    	    20.37500    	    1756.312    	    10.95926    
   -97.12500    	    20.62500    	    1756.312    	    8.012502    
   -96.87500    	    20.62500    	    1756.312    	    9.058333    
   -97.12500    	    20.37500    	    1756.438    	    8.169445    
   -96.87500    	    20.37500    	    1756.438    	    12.26296    
   -97.12500    	    20.62500    	    1756.438    	    8.218750    
   -96.87500    	    20.62500    	    1756.438    	    7.166668    
   -97.12500    	    20.37500    	    1756.562    	    2.519445    
   -96.87500    	    20.37500    	    1756.562    	    2.755556    
   -97.12500    	    20.62500    	    1756.562    	    4.449999    
   -96.87500    	    20.62500    	    1756.562    	    3.463888    
   -97.12500    	    20.37500    	    1756.688    	   6.3888893E-02
   -96.87500    	    20.37500    	    1756.688    	   0.0000000E+00
   -97.12500    	    20.62500    	    1756.688    	   6.6666663E-02
   -96.87500    	    20.62500    	    1756.688    	   5.8333337E-02
