X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -96.62500    	    2131.062    	   0.0000000E+00
   -96.37500    	    2131.062    	   0.0000000E+00
   -96.62500    	    2131.188    	   8.0555558E-02
   -96.37500    	    2131.188    	   0.2481482    
   -96.62500    	    2131.312    	    2.705556    
   -96.37500    	    2131.312    	    7.155555    
   -96.62500    	    2131.438    	    2.830555    
   -96.37500    	    2131.438    	    13.61852    
   -96.62500    	    2131.562    	    2.355555    
   -96.37500    	    2131.562    	    10.82592    
   -96.62500    	    2131.688    	    2.458333    
   -96.37500    	    2131.688    	    7.800002    
   -96.62500    	    2131.812    	    1.358333    
   -96.37500    	    2131.812    	    3.272222    
   -96.62500    	    2131.938    	    1.058333    
   -96.37500    	    2131.938    	   0.9777780    
   -96.62500    	    2132.062    	    1.147222    
   -96.37500    	    2132.062    	   2.9629633E-02
