X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -53.62500    	    46.87500    	    3205.312    	   0.6666668    
   -53.37500    	    46.87500    	    3205.312    	   0.5888891    
   -53.62500    	    47.12500    	    3205.312    	   0.4520835    
   -53.37500    	    47.12500    	    3205.312    	   0.4750001    
   -53.62500    	    46.87500    	    3205.438    	    1.849998    
   -53.37500    	    46.87500    	    3205.438    	    1.814814    
   -53.62500    	    47.12500    	    3205.438    	    2.383332    
   -53.37500    	    47.12500    	    3205.438    	    1.902777    
   -53.62500    	    46.87500    	    3205.562    	   5.5555556E-02
   -53.37500    	    46.87500    	    3205.562    	   0.1148148    
   -53.62500    	    47.12500    	    3205.562    	   6.2500001E-03
   -53.37500    	    47.12500    	    3205.562    	   4.1666672E-02
   -53.62500    	    46.87500    	    3205.688    	   4.4444446E-02
   -53.37500    	    46.87500    	    3205.688    	   2.9629631E-02
   -53.62500    	    47.12500    	    3205.688    	   0.5041667    
   -53.37500    	    47.12500    	    3205.688    	   0.2305555    
   -53.62500    	    46.87500    	    3205.812    	   0.0000000E+00
   -53.37500    	    46.87500    	    3205.812    	   0.0000000E+00
   -53.62500    	    47.12500    	    3205.812    	   0.0000000E+00
   -53.37500    	    47.12500    	    3205.812    	   0.0000000E+00
   -53.62500    	    46.87500    	    3205.938    	   0.0000000E+00
   -53.37500    	    46.87500    	    3205.938    	   0.0000000E+00
   -53.62500    	    47.12500    	    3205.938    	   0.0000000E+00
   -53.37500    	    47.12500    	    3205.938    	   0.0000000E+00
   -53.62500    	    46.87500    	    3206.062    	   0.0000000E+00
   -53.37500    	    46.87500    	    3206.062    	   0.0000000E+00
   -53.62500    	    47.12500    	    3206.062    	   0.0000000E+00
   -53.37500    	    47.12500    	    3206.062    	   0.0000000E+00
   -53.62500    	    46.87500    	    3206.188    	   0.0000000E+00
   -53.37500    	    46.87500    	    3206.188    	   0.0000000E+00
   -53.62500    	    47.12500    	    3206.188    	   0.0000000E+00
   -53.37500    	    47.12500    	    3206.188    	   0.0000000E+00
   -53.62500    	    46.87500    	    3206.312    	   0.0000000E+00
   -53.37500    	    46.87500    	    3206.312    	   0.0000000E+00
   -53.62500    	    47.12500    	    3206.312    	   0.0000000E+00
   -53.37500    	    47.12500    	    3206.312    	   0.0000000E+00
