X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -61.37500    	    5399.562    	   0.3185185    
   -61.12500    	    5399.562    	    1.325000    
   -61.37500    	    5399.688    	    2.025926    
   -61.12500    	    5399.688    	    2.436111    
   -61.37500    	    5399.812    	    7.285185    
   -61.12500    	    5399.812    	    10.05000    
   -61.37500    	    5399.938    	    13.14444    
   -61.12500    	    5399.938    	    18.13056    
   -61.37500    	    5400.062    	    26.81481    
   -61.12500    	    5400.062    	    20.76389    
   -61.37500    	    5400.188    	    18.79259    
   -61.12500    	    5400.188    	    14.63889    
   -61.37500    	    5400.312    	    4.711112    
   -61.12500    	    5400.312    	    2.316667    
   -61.37500    	    5400.438    	   0.9000000    
   -61.12500    	    5400.438    	    3.241667    
   -61.37500    	    5400.562    	   0.8925926    
   -61.12500    	    5400.562    	    2.419445    
