Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    17.87500    	    5400.938    	    1.969444    
    18.12500    	    5400.938    	    1.474074    
    17.87500    	    5401.062    	    8.180556    
    18.12500    	    5401.062    	    8.329630    
    17.87500    	    5401.188    	    13.11944    
    18.12500    	    5401.188    	    14.31481    
    17.87500    	    5401.312    	    19.62222    
    18.12500    	    5401.312    	    26.78519    
    17.87500    	    5401.438    	    15.21944    
    18.12500    	    5401.438    	    13.15926    
    17.87500    	    5401.562    	    7.480556    
    18.12500    	    5401.562    	    11.46296    
    17.87500    	    5401.688    	    2.636111    
    18.12500    	    5401.688    	    3.192593    
    17.87500    	    5401.812    	   9.1666669E-02
    18.12500    	    5401.812    	   0.3777778    
    17.87500    	    5401.938    	   2.2222223E-02
    18.12500    	    5401.938    	   0.0000000E+00
