X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -91.12500    	    29.12500    	    672.9375    	   0.0000000E+00
   -90.87500    	    29.12500    	    672.9375    	   0.0000000E+00
   -91.12500    	    29.37500    	    672.9375    	   0.0000000E+00
   -90.87500    	    29.37500    	    672.9375    	   0.0000000E+00
   -91.12500    	    29.12500    	    673.0625    	   0.0000000E+00
   -90.87500    	    29.12500    	    673.0625    	   0.0000000E+00
   -91.12500    	    29.37500    	    673.0625    	   0.0000000E+00
   -90.87500    	    29.37500    	    673.0625    	   0.0000000E+00
   -91.12500    	    29.12500    	    673.1875    	    1.777778    
   -90.87500    	    29.12500    	    673.1875    	    2.444444    
   -91.12500    	    29.37500    	    673.1875    	    1.872222    
   -90.87500    	    29.37500    	    673.1875    	    2.187500    
   -91.12500    	    29.12500    	    673.3125    	   0.2333333    
   -90.87500    	    29.12500    	    673.3125    	   0.7388893    
   -91.12500    	    29.37500    	    673.3125    	   0.3583335    
   -90.87500    	    29.37500    	    673.3125    	    1.193749    
   -91.12500    	    29.12500    	    673.4375    	   0.0000000E+00
   -90.87500    	    29.12500    	    673.4375    	   0.0000000E+00
   -91.12500    	    29.37500    	    673.4375    	   0.0000000E+00
   -90.87500    	    29.37500    	    673.4375    	   2.0833334E-03
   -91.12500    	    29.12500    	    673.5625    	   0.0000000E+00
   -90.87500    	    29.12500    	    673.5625    	   0.0000000E+00
   -91.12500    	    29.37500    	    673.5625    	   0.0000000E+00
   -90.87500    	    29.37500    	    673.5625    	   0.0000000E+00
   -91.12500    	    29.12500    	    673.6875    	   0.0000000E+00
   -90.87500    	    29.12500    	    673.6875    	   0.0000000E+00
   -91.12500    	    29.37500    	    673.6875    	   0.0000000E+00
   -90.87500    	    29.37500    	    673.6875    	   0.0000000E+00
   -91.12500    	    29.12500    	    673.8125    	   0.0000000E+00
   -90.87500    	    29.12500    	    673.8125    	   0.0000000E+00
   -91.12500    	    29.37500    	    673.8125    	   0.0000000E+00
   -90.87500    	    29.37500    	    673.8125    	   0.0000000E+00
   -91.12500    	    29.12500    	    673.9375    	   0.0000000E+00
   -90.87500    	    29.12500    	    673.9375    	   0.0000000E+00
   -91.12500    	    29.37500    	    673.9375    	   0.0000000E+00
   -90.87500    	    29.37500    	    673.9375    	   0.0000000E+00
