X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -74.37500    	    5050.562    	    2.666667    
   -74.12500    	    5050.562    	    3.137500    
   -74.37500    	    5050.688    	    4.880556    
   -74.12500    	    5050.688    	    5.608334    
   -74.37500    	    5050.812    	    7.675000    
   -74.12500    	    5050.812    	    8.564583    
   -74.37500    	    5050.938    	    4.891667    
   -74.12500    	    5050.938    	    13.69583    
   -74.37500    	    5051.062    	    4.180556    
   -74.12500    	    5051.062    	    14.66042    
   -74.37500    	    5051.188    	    8.580555    
   -74.12500    	    5051.188    	    11.31250    
   -74.37500    	    5051.312    	    4.416667    
   -74.12500    	    5051.312    	    5.847917    
   -74.37500    	    5051.438    	    1.047222    
   -74.12500    	    5051.438    	    3.487500    
   -74.37500    	    5051.562    	    1.841667    
   -74.12500    	    5051.562    	    4.258333    
