Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    16.37500    	    2849.188    	    3.937036    
    16.62500    	    2849.188    	    7.541667    
    16.37500    	    2849.312    	    3.337037    
    16.62500    	    2849.312    	    3.447223    
    16.37500    	    2849.438    	    2.922223    
    16.62500    	    2849.438    	   0.6388890    
    16.37500    	    2849.562    	   0.4592592    
    16.62500    	    2849.562    	    1.163889    
    16.37500    	    2849.688    	   2.5925927E-02
    16.62500    	    2849.688    	   0.2138888    
    16.37500    	    2849.812    	   0.0000000E+00
    16.62500    	    2849.812    	   0.0000000E+00
    16.37500    	    2849.938    	   0.0000000E+00
    16.62500    	    2849.938    	   0.0000000E+00
    16.37500    	    2850.062    	   0.5592593    
    16.62500    	    2850.062    	   6.3888885E-02
    16.37500    	    2850.188    	    2.277777    
    16.62500    	    2850.188    	   0.2111111    
