X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -85.62500    	    29.87500    	    5786.188    	    2.956667    
   -85.37500    	    29.87500    	    5786.188    	    1.743333    
   -85.62500    	    30.12500    	    5786.188    	    1.073333    
   -85.37500    	    30.12500    	    5786.188    	   0.4600000    
   -85.62500    	    29.87500    	    5786.312    	    6.996666    
   -85.37500    	    29.87500    	    5786.312    	    4.946666    
   -85.62500    	    30.12500    	    5786.312    	    4.843333    
   -85.37500    	    30.12500    	    5786.312    	    3.840000    
   -85.62500    	    29.87500    	    5786.438    	    9.976666    
   -85.37500    	    29.87500    	    5786.438    	    5.640000    
   -85.62500    	    30.12500    	    5786.438    	    5.433333    
   -85.37500    	    30.12500    	    5786.438    	    3.076667    
   -85.62500    	    29.87500    	    5786.562    	    8.470000    
   -85.37500    	    29.87500    	    5786.562    	    6.130000    
   -85.62500    	    30.12500    	    5786.562    	    5.690000    
   -85.37500    	    30.12500    	    5786.562    	    3.853333    
   -85.62500    	    29.87500    	    5786.688    	    21.27333    
   -85.37500    	    29.87500    	    5786.688    	    25.85667    
   -85.62500    	    30.12500    	    5786.688    	    19.25667    
   -85.37500    	    30.12500    	    5786.688    	    18.41333    
   -85.62500    	    29.87500    	    5786.812    	    10.37333    
   -85.37500    	    29.87500    	    5786.812    	    13.02333    
   -85.62500    	    30.12500    	    5786.812    	    13.19333    
   -85.37500    	    30.12500    	    5786.812    	    11.97667    
   -85.62500    	    29.87500    	    5786.938    	   9.9999998E-03
   -85.37500    	    29.87500    	    5786.938    	   0.0000000E+00
   -85.62500    	    30.12500    	    5786.938    	   9.9999998E-03
   -85.37500    	    30.12500    	    5786.938    	   0.1233333    
   -85.62500    	    29.87500    	    5787.062    	   0.0000000E+00
   -85.37500    	    29.87500    	    5787.062    	   0.0000000E+00
   -85.62500    	    30.12500    	    5787.062    	   0.0000000E+00
   -85.37500    	    30.12500    	    5787.062    	   0.0000000E+00
   -85.62500    	    29.87500    	    5787.188    	   0.0000000E+00
   -85.37500    	    29.87500    	    5787.188    	   0.0000000E+00
   -85.62500    	    30.12500    	    5787.188    	   0.0000000E+00
   -85.37500    	    30.12500    	    5787.188    	   0.0000000E+00
