X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -97.12500    	    20.37500    	    3200.188    	   0.2111111    
   -96.87500    	    20.37500    	    3200.188    	   1.8518519E-02
   -97.12500    	    20.62500    	    3200.188    	   0.4354167    
   -96.87500    	    20.62500    	    3200.188    	   0.0000000E+00
   -97.12500    	    20.37500    	    3200.312    	   2.7777778E-03
   -96.87500    	    20.37500    	    3200.312    	   0.0000000E+00
   -97.12500    	    20.62500    	    3200.312    	   2.0833334E-02
   -96.87500    	    20.62500    	    3200.312    	   0.0000000E+00
   -97.12500    	    20.37500    	    3200.438    	   0.0000000E+00
   -96.87500    	    20.37500    	    3200.438    	   4.8148151E-02
   -97.12500    	    20.62500    	    3200.438    	   0.0000000E+00
   -96.87500    	    20.62500    	    3200.438    	   0.0000000E+00
   -97.12500    	    20.37500    	    3200.562    	   0.1388889    
   -96.87500    	    20.37500    	    3200.562    	   1.1111111E-02
   -97.12500    	    20.62500    	    3200.562    	   0.0000000E+00
   -96.87500    	    20.62500    	    3200.562    	   1.3888889E-02
   -97.12500    	    20.37500    	    3200.688    	   7.7777773E-02
   -96.87500    	    20.37500    	    3200.688    	   0.0000000E+00
   -97.12500    	    20.62500    	    3200.688    	   0.0000000E+00
   -96.87500    	    20.62500    	    3200.688    	   2.7777782E-02
   -97.12500    	    20.37500    	    3200.812    	   5.5555557E-03
   -96.87500    	    20.37500    	    3200.812    	   0.0000000E+00
   -97.12500    	    20.62500    	    3200.812    	   0.0000000E+00
   -96.87500    	    20.62500    	    3200.812    	   0.0000000E+00
   -97.12500    	    20.37500    	    3200.938    	   0.0000000E+00
   -96.87500    	    20.37500    	    3200.938    	   0.0000000E+00
   -97.12500    	    20.62500    	    3200.938    	   0.0000000E+00
   -96.87500    	    20.62500    	    3200.938    	   0.0000000E+00
   -97.12500    	    20.37500    	    3201.062    	   0.0000000E+00
   -96.87500    	    20.37500    	    3201.062    	   0.0000000E+00
   -97.12500    	    20.62500    	    3201.062    	   0.0000000E+00
   -96.87500    	    20.62500    	    3201.062    	   0.0000000E+00
   -97.12500    	    20.37500    	    3201.188    	   0.0000000E+00
   -96.87500    	    20.37500    	    3201.188    	   0.0000000E+00
   -97.12500    	    20.62500    	    3201.188    	   0.0000000E+00
   -96.87500    	    20.62500    	    3201.188    	   0.0000000E+00
