X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -83.62500    	    5416.062    	    1.116667    
   -83.37500    	    5416.062    	   0.6312500    
   -83.62500    	    5416.188    	   0.2083333    
   -83.37500    	    5416.188    	   0.5166667    
   -83.62500    	    5416.312    	    1.122222    
   -83.37500    	    5416.312    	    1.022917    
   -83.62500    	    5416.438    	    1.002778    
   -83.37500    	    5416.438    	    1.029167    
   -83.62500    	    5416.562    	    2.180556    
   -83.37500    	    5416.562    	    1.162500    
   -83.62500    	    5416.688    	    1.277778    
   -83.37500    	    5416.688    	    1.427083    
   -83.62500    	    5416.812    	   0.3833333    
   -83.37500    	    5416.812    	   0.4833332    
   -83.62500    	    5416.938    	   0.0000000E+00
   -83.37500    	    5416.938    	   0.0000000E+00
   -83.62500    	    5417.062    	   0.0000000E+00
   -83.37500    	    5417.062    	   0.0000000E+00
