X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -75.87500    	    1787.812    	   1.6666668E-02
   -75.62500    	    1787.812    	   2.5000000E-02
   -75.87500    	    1787.938    	   0.1062500    
   -75.62500    	    1787.938    	   0.1027777    
   -75.87500    	    1788.062    	   2.0833336E-02
   -75.62500    	    1788.062    	   0.1250000    
   -75.87500    	    1788.188    	   6.2500000E-02
   -75.62500    	    1788.188    	    2.005556    
   -75.87500    	    1788.312    	   0.6895835    
   -75.62500    	    1788.312    	    3.891667    
   -75.87500    	    1788.438    	   3.9583337E-02
   -75.62500    	    1788.438    	   6.1111111E-02
   -75.87500    	    1788.562    	    1.050000    
   -75.62500    	    1788.562    	   0.3611111    
   -75.87500    	    1788.688    	    1.312500    
   -75.62500    	    1788.688    	   0.9638889    
   -75.87500    	    1788.812    	    1.412500    
   -75.62500    	    1788.812    	   0.8027777    
