Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    24.87500    	    1790.188    	    1.351852    
    25.12500    	    1790.188    	    1.288889    
    24.87500    	    1790.312    	    1.996296    
    25.12500    	    1790.312    	    1.703704    
    24.87500    	    1790.438    	    6.933335    
    25.12500    	    1790.438    	    2.103704    
    24.87500    	    1790.562    	    4.666667    
    25.12500    	    1790.562    	    2.629630    
    24.87500    	    1790.688    	    3.837036    
    25.12500    	    1790.688    	    3.288890    
    24.87500    	    1790.812    	   7.4074077E-03
    25.12500    	    1790.812    	   0.0000000E+00
    24.87500    	    1790.938    	   0.0000000E+00
    25.12500    	    1790.938    	   4.4444446E-02
    24.87500    	    1791.062    	   0.0000000E+00
    25.12500    	    1791.062    	   4.4444449E-02
    24.87500    	    1791.188    	   0.0000000E+00
    25.12500    	    1791.188    	   0.0000000E+00
