X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -71.62500    	    17.62500    	    364.4375    	    8.159258    
   -71.37500    	    17.62500    	    364.4375    	    9.441666    
   -71.62500    	    17.87500    	    364.4375    	    8.280555    
   -71.37500    	    17.87500    	    364.4375    	    9.087500    
   -71.62500    	    17.62500    	    364.5625    	    1.903703    
   -71.37500    	    17.62500    	    364.5625    	    4.372222    
   -71.62500    	    17.87500    	    364.5625    	    2.997222    
   -71.37500    	    17.87500    	    364.5625    	    4.554165    
   -71.62500    	    17.62500    	    364.6875    	    1.333333    
   -71.37500    	    17.62500    	    364.6875    	    2.599999    
   -71.62500    	    17.87500    	    364.6875    	    1.850000    
   -71.37500    	    17.87500    	    364.6875    	    2.843751    
   -71.62500    	    17.62500    	    364.8125    	   0.9296292    
   -71.37500    	    17.62500    	    364.8125    	    1.233333    
   -71.62500    	    17.87500    	    364.8125    	    1.633334    
   -71.37500    	    17.87500    	    364.8125    	    1.764583    
   -71.62500    	    17.62500    	    364.9375    	   0.3111111    
   -71.37500    	    17.62500    	    364.9375    	    1.266667    
   -71.62500    	    17.87500    	    364.9375    	   0.5416667    
   -71.37500    	    17.87500    	    364.9375    	    2.433334    
   -71.62500    	    17.62500    	    365.0625    	   0.5333334    
   -71.37500    	    17.62500    	    365.0625    	    1.594444    
   -71.62500    	    17.87500    	    365.0625    	   0.3972222    
   -71.37500    	    17.87500    	    365.0625    	    6.679166    
   -71.62500    	    17.62500    	    365.1875    	   0.0000000E+00
   -71.37500    	    17.62500    	    365.1875    	   0.0000000E+00
   -71.62500    	    17.87500    	    365.1875    	   0.0000000E+00
   -71.37500    	    17.87500    	    365.1875    	   0.0000000E+00
   -71.62500    	    17.62500    	    365.3125    	   0.0000000E+00
   -71.37500    	    17.62500    	    365.3125    	   0.0000000E+00
   -71.62500    	    17.87500    	    365.3125    	   0.0000000E+00
   -71.37500    	    17.87500    	    365.3125    	   0.0000000E+00
   -71.62500    	    17.62500    	    365.4375    	   0.0000000E+00
   -71.37500    	    17.62500    	    365.4375    	   0.0000000E+00
   -71.62500    	    17.87500    	    365.4375    	   0.0000000E+00
   -71.37500    	    17.87500    	    365.4375    	   0.0000000E+00
