X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -66.62500    	    1829.812    	   9.4444431E-02
   -66.37500    	    1829.812    	   0.2083333    
   -66.62500    	    1829.938    	   8.3333338E-03
   -66.37500    	    1829.938    	   2.5000000E-02
   -66.62500    	    1830.062    	   0.8638890    
   -66.37500    	    1830.062    	    1.572222    
   -66.62500    	    1830.188    	    2.561111    
   -66.37500    	    1830.188    	    2.594444    
   -66.62500    	    1830.312    	   0.3388889    
   -66.37500    	    1830.312    	   0.2055555    
   -66.62500    	    1830.438    	   0.1750000    
   -66.37500    	    1830.438    	   0.1277778    
   -66.62500    	    1830.562    	    1.575000    
   -66.37500    	    1830.562    	    2.063889    
   -66.62500    	    1830.688    	    2.938888    
   -66.37500    	    1830.688    	    3.400000    
   -66.62500    	    1830.812    	    1.980555    
   -66.37500    	    1830.812    	    2.313888    
